,train,val,test
Anaplastic_ependymoma,28,9,9
Fibrous_meningioma,34,11,11
Anaplastic_astrocytoma__IDH-wildtype,26,9,9
Angiomatous_meningioma,14,4,4
Secretory_meningioma,25,8,8
Lipoma,22,7,7
Pilocytic_astrocytoma,104,34,34
Atypical_meningioma,50,16,16
Anaplastic_oligodendroglioma__IDH-mutant_and_1p/19q_codeleted,52,17,17
Anaplastic_astrocytoma__IDH-mutant,27,9,9
Diffuse_astrocytoma__IDH-mutant,40,14,14
Diffuse_large_B-cell_lymphoma_of_the_CNS,35,12,12
Transitional_meningioma,41,13,13
Meningothelial_meningioma,62,21,21
Langerhans_cell_histiocytosis,17,6,6
Gliosarcoma,35,12,12
Ganglioglioma,52,18,18
Anaplastic_meningioma,26,9,9
Chordoma,16,6,6
Schwannoma,49,16,16
Adamantinomatous_craniopharyngioma,50,17,17
Medulloblastoma__non-WNT/non-SHH,20,6,6
Psammomatous_meningioma,16,5,5
Haemangioblastoma,53,17,17
Metastatic_tumours,28,9,9
Haemangioma,18,6,6
Haemangiopericytoma,20,7,7
Ependymoma,28,9,9
Glioblastoma__IDH-mutant,19,7,7
Pituitary_adenoma,58,20,20
Oligodendroglioma__IDH-mutant_and_1p/19q_codeleted,50,17,17
Glioblastoma__IDH-wildtype,280,93,93
